Date,CVol,Return,Spread,Diff,5days mean,10days mean,5days std
12/05/19,1895290,0.05,0.005479993,0.002481922,-0.309279385,0.053617031,0.631403946
12/04/19,2011668.079,0.54,0.003794239,0.004319186,-0.186305493,-0.002337963,0.764086145
12/03/19,2124325.67,-0.55,0.010395343,-0.012519752,-0.2585638,-0.032124204,0.691876049
12/02/19,2027437.14,-1.12,0.015486485,0.000850986,0.116283556,0.033798281,0.951695548
11/29/19,989068.6321,-0.46,0.003841569,-0.002660737,0.373427184,0.219194495,0.662109609
11/27/19,1618458.848,0.66,0.004977729,0.002504758,0.416513447,0.261169205,0.598596785
11/26/19,2285100.889,0.18,0.00394337,0.000337201,0.181629567,0.190276983,0.700052551
11/25/19,2101194.282,1.32,0.008514809,0.00466722,0.194315392,0.198156957,0.700565601
11/22/19,1719205.506,0.16,0.006803965,0.002860611,-0.048686993,0.052969621,0.318074916
11/21/19,1908781.422,-0.24,0.005106504,0.000133899,0.064961806,0.085262848,0.474613249
11/20/19,2180194.724,-0.51,0.012858032,-0.003160327,0.105824963,0.137731631,0.449871174
11/19/19,1888112.845,0.24,0.006187506,0.003284032,0.198924398,0.160467578,0.319067628
11/18/19,1853454.321,0.11,0.006568001,-0.001365759,0.201998522,0.137988145,0.319664048
11/15/19,2031302.664,0.73,0.003984508,0.00536228,0.154626236,0.183130228,0.353125558
11/14/19,1937983.987,-0.04,0.005162509,-0.002480246,0.105563889,0.223633507,0.257455969
11/13/19,2006297.289,-0.05,0.005370721,-0.003661469,0.169638299,0.213281471,0.253136343
11/12/19,1828218.849,0.26,0.006109763,0.00080281,0.122010758,0.25075423,0.318145815
11/11/19,1594607.414,-0.13,0.004938993,-0.00519726,0.073977768,0.16596932,0.310574988
11/08/19,1801429.082,0.48,0.008221408,-0.001405071,0.211634219,0.27951841,0.347756095
11/07/19,2155929.101,0.28,0.00797734,0.005288741,0.341703125,0.301177961,0.542205299
11/06/19,2066700.109,-0.29,0.005617892,-0.000961176,0.256924644,0.354062362,0.584935565
11/05/19,2020850.949,0.02,0.004308403,0.00159167,0.379497701,0.401700556,0.50115839
11/04/19,1965391.097,0.56,0.003566143,0.007047857,0.257960873,0.328045593,0.659538072
11/01/19,1847313.413,1.13,0.007177217,0.005148325,0.3474026,0.363026724,0.736271715
10/31/19,2000264.332,-0.14,0.008802801,0.001253335,0.260652798,0.16710525,0.639628649
10/30/19,1741391.34,0.33,0.008887912,0.000897058,0.45120008,0.221304669,0.632351068
10/29/19,1673998.97,-0.59,0.005334879,-0.001518092,0.42390341,0.158440567,0.641888238
10/28/19,1773072.359,1.01,0.006040486,0.005174132,0.398130312,0.341768024,0.693310142
10/25/19,1730488.378,0.70,0.012055995,-0.004300578,0.378650848,0.230827638,0.673059228
10/24/19,1703194.662,0.81,0.00613062,0.007420027,0.073557702,0.294442244,0.820427908
10/23/19,1627460.232,0.19,0.005484253,-0.001734297,-0.008590743,0.272672063,0.744991256
10/22/19,1654906.844,-0.72,0.011431099,0.003079137,-0.107022276,0.355756576,0.744502994
10/21/19,1569017.655,0.91,0.005742383,0.005918465,0.285405737,0.26110168,0.850818112
10/18/19,1782231.786,-0.83,0.013842561,-0.000858497,0.083004428,0.137516186,0.783419752
10/17/19,1678312.209,0.40,0.006422943,0.006490048,0.515326785,0.360031258,0.752781919
10/16/19,1703882.208,-0.30,0.005264898,-0.003545907,0.55393487,0.431593853,0.750471056
10/15/19,1612752.366,1.24,0.011580612,0.00325502,0.818535428,0.305606622,0.5897286
10/14/19,1265027.803,-0.10,0.004153989,-0.001575097,0.236797623,0.067966308,1.19262368
10/11/19,1846651.005,1.34,0.008563444,0.012144413,0.192027945,0.153585053,1.212654113
10/10/19,1560726.469,0.60,0.010443123,0.000103564,0.20473573,-0.093415407,1.227882038
10/09/19,1350893.102,1.02,0.007262129,0.009226393,0.309252837,-0.210775451,1.290088603
